id,sanskrit,unicode,english,dristi
20,Padangusthasana,Pādānguṣṭhāsana,Foot Big Toe,1
20|Padangusthasana|Foot Big Toe|
21,Padahastasana,Pāda Hastāsana,Foot to Hand,1
21|Padahastasana|Foot to Hand Poture|
23,Utthita Trikonasana,Utthita Trikoṇāsana,Extended Triangle,4
23|Utthita Trikonasana|Extended Triangle|
24,Parivritta Trikonasana,Parivṛtta Trikoṇāsana,Revolved Triangle,4
24|Parivritta Trikonasana|Revolved Triangle|
25,Utthita Parsvakonasana,Utthita Pārśvakoṇāsana,Extended Side Angle,4
25|Utthita Parsvakonasana|Extended Side Angle|
26,Parivritta Parsvakonasana,Parivṛtta Pārśvakoṇāsana,Revolved Side Angle,4
26|Parivritta Parsvakonasana|Revolved Side Angle|
27,Prasarita Padottanasana A,Prasārita Pādottānāsana A,Feet Spread Intense Stretch,1
27|Prasarita Padottanasana A|Feet Spread Intense Stretch A|
28,Prasarita Padottanasana B,Prasārita Pādottānāsana B,Feet Spread Intense Stretch,1
28|Prasarita Padottanasana B|Feet Spread Intense Stretch B|
29,Prasarita Padottanasana C,Prasārita Pādottānāsana C,Feet Spread Intense Stretch,1
29|Prasarita Padottanasana C|Feet Spread Intense Stretch C|
30,Prasarita Padottanasana D,Prasārita Pādottānāsana D,Feet Spread Intense Stretch,1
30|Prasarita Padottanasana D|Feet Spread Intense Stretch D|
31,Parsvottanasana,Pārśvottānāsana,Intense Side Stretch,1
31|Parsvottanasana|Intense Side Stretch|
32,Utthita Hasta Padangusthasana A,Utthita Hasta Pādānguṣṭhāsana A,Extended Hand Big Toe,5
32|Utthita Hasta Padangusthasana A|Extended Hand Big Toe A|
66,Utthita Hasta Padangusthasana B,Utthita Hasta Pādānguṣṭhāsana B,Extended Hand Big Toe,6
66|Utthita Hasta Padangusthasana B|Extended Hand Big Toe B|
67,Utthita Hasta Padangusthasana C,Utthita Hasta Pādānguṣṭhāsana C,Extended Hand Big Toe,5
67|Utthita Hasta Padangusthasana C|Extended Hand Big Toe C|
68,Utthita Hasta Padangusthasana D,Utthita Hasta Pādānguṣṭhāsana D,Extended Hand Big Toe,5
68|Utthita Hasta Padangusthasana D|Extended Hand Big Toe D|
69,ardha baddha padmottanasana,Ardha Baddha Padmottānāsana,half bound lotus intense stretch,1
69|Ardha Baddha Padmottanasana|Half Bound Lotus Intense Strech|
16,utkatasana,Utkaṭāsana,fierce,8
19|Utkatasana|Fierce Posture|
17,Virabhadrasana A,Vīrabhadrāsana A,warrior A,8
17|Virabhadrasana A|Warrior I|
34,Virabhadrasana B,Vīrabhadrāsana B,warrior B,4
34|Virabhadrasana B|Warrior II|
144,Virabhadrasana C,Vīrabhadrāsana C,warrior C,4
144|Virabhadrasana C|Warrior III|
70,Dandasana,Daṇḍāsana,Staff,1
70|Dandasana|Staff Posture|
36,Paschimottanasana A,Paschimottānāsana A,Western Intense Stretch A,5
36|Paschimottanasana A|Western Intense Stretch A|
37,Paschimottanasana B,Paschimottānāsana B,Western Intense Stretch B,5
37|Paschimottanasana B|Western Intense Stretch B|
159,Paschimottanasana C,Paschimottānāsana C,Western Intense Stretch C,5
159|Paschimottanasana C|Western Intense Stretch C|
38,Paschimottanasana D,Paschimottānāsana D,Western Intense Stretch D,5
38|Paschimottanasana D|Western Intense Stretch D|
35,Purvottanasana,Pūrvottānāsana,Eastern Intense Stretch,1
35|Purvottanasana|Eastern Intense Stretch|
24,ardha Baddha Padma Paschimottanasana,Ardha Baddha Padma Paschimottānāsana,Half Bound Lotus Western Intense Stretch,5
39|Ardha Baddha Padma Paschimottanasana|Half Bound Lotus Western Intense Stretch|
41,Trianga Mukhaikapada Paschimottanasana,Triang Mukhaikapāda Paschimottānāsana,Three Limbs Face One Foot Western Intense Stretch,5
41|Trianga Mukhaikapada Paschimottanasana|Three Limbs Face One Foot Western Intense Stretch|
42,Janu Sirsasana A,Jānu Śīrṣāsana A,Head to Knee A,5
42|Janu Sirsasana A|Head to Knee A|
43,Janu Sirsasana B,Jānu Śīrṣāsana B,Head to Knee B,5
43|Janu Sirsasana B|Head to Knee B|
44,Janu Sirsasana C,Jānu Śīrṣāsana C,Head to Knee C,5
44|Janu Sirsasana C|Head to Knee C|
45,Marichyasana A,Marīchyāsana A,Dedicated to Marichi A,5
45|Marichyasana A|Dedicated to Marichi A|
46,Marichyasana B,Marīchyāsana B,Dedicated to Marichi B,1
46|Marichyasana B|Dedicated to Marichi B|
47,Marichyasana C,Marīchyāsana C,Dedicated to Marichi C,6
47|Marichyasana C|Dedicated to Marichi C|
172,Marichyasana D,Marīchyāsana D,Dedicated to Marichi D,6
